Category,Name,ID,Level,Event Log,Event Source,
"Network Policy","Encrypted Data Recovery Policy Changed","4714","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Kerberos Policy Changed","4713","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Kerberos Service Ticket Req. Failed","4769","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network Policy Server Denied Access","6273","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network Policy Server Discarded Accounting Request","6275","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network Policy Server Discarded Request","6274","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network Policy Server Granted Access","6272","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network Policy Server Granted Full Access","6278","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network Policy Server Granted Probationary Access","6277","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network Policy Server Locked Account","6279","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network Policy Server Quarantined User","6276","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network Policy Server Unlocked Account","6280","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network share accessed","5140","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network Share Checked","5145","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network Share Created","5142","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Network Share Deleted","5144","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","New Trust for Domain","4706","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Outbound TS Connect Attempt","1024","Information","Microsoft-Windows-TerminalServices-RDPClient/Operational","Microsoft-Windows-TerminalServices-ClientActiveXCore",
"Network Policy","RADIUS User assigned IP","20250","Success","RemoteAccess","Microsoft-Windows-MPRMSG",
"Network Policy","RADIUS User Authenticated","20274","Success","RemoteAccess","Microsoft-Windows-MPRMSG",
"Network Policy","RADIUS User Disconnected","20275","Success","RemoteAccess","Microsoft-Windows-MPRMSG",
"Network Policy","Role Separation Enabled","4897","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","System Audit Policy Changed","4719","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Trusted Domain Information Modified","4716","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","TS Session Disconnect","4779","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","TS Session Reconnect","4778","Information","Security","Microsoft-Windows-Security-Auditing",
"Network Policy","Wireless 802.1X Auth","5632","Information","Security","Microsoft-Windows-Security-Auditing",
"PowerShell Activities","Get-MessageTrackingLog cmdlet","800","Information","Powershell","Microsoft-Windows-Powershell",
"PowerShell Activities","Remote Connection","169","Information","Powershell","Microsoft-Windows-Powershell",
"PowerShell Activities","Exception Raised","4103","Information","Microsoft-Windows-Powershell/Operational","Microsoft-Windows-Powershell",
"PowerShell Activities","Exception Raised","4104","Information","Microsoft-Windows-Powershell/Operational","Microsoft-Windows-Powershell",
"PowerShell Activities","Exception Raised","4105","Information","Microsoft-Windows-Powershell/Operational","Microsoft-Windows-Powershell",
"PowerShell Activities","Exception Raised","4106","Information","Microsoft-Windows-Powershell/Operational","Microsoft-Windows-Powershell",
"Printing Services","Printing Document","307","Information","Microsoft-Windows-PrintService/Operational","Microsoft-Windows-PrintService",
"Software and Service Installation","New Application Installation","903, 904","Information","Microsoft-Windows-Application-Experience/Program-Inventory","Microsoft-Windows-Application-Experience",
"Software and Service Installation","New Kernel Filter Driver","6","Information","System","Microsoft-Windows-FilterManager",
"Software and Service Installation","New MSI File Installed","1022, 1033","Information","Application","MsiInstaller",
"Software and Service Installation","New Windows Service","7045","Information","System","Microsoft-Windows-FilterManager",
"Software and Service Installation","Removed Application","907, 908","Information","Microsoft-Windows-Application-Experience/Program-Inventory","Microsoft-Windows-Application-Experience",
"Software and Service Installation","Service Start Failure","7000","Error","System","Service Control Manager",
"Software and Service Installation","Summary of Software Activities","800","Information","Microsoft-Windows-Application-Experience/Program-Inventory","Microsoft-Windows-Application-Experience",
